Pitcher Name,player_id,Games Played,IP,Batters Faced,Strikeout,Walks,K%,BB%,Earned Runs,Runs Allowed,Wins,Losses,ERA,Games Started,Avg. Exit Velo.,Sweet Spot%,Barrel%,Hard Hit%,EV50,Adj. EV50,Whiff%,Swing%,GB%
"Kikuchi, Yusei",579328,32,167.2,700,181,48,25.9,6.9,72,78,11,6,3.86,32,90.5,37.7,9,42.4,80.86269766,94.43232426,28,48.7,40
"Adam, Jason",592094,56,54.1,222,69,20,31.1,9,18,21,4,2,2.98,0,87.2,30.6,12.1,39.5,74.79804323,93.94912163,34.4,45.9,41.9
"Covey, Dylan",592229,29,43,191,30,17,15.7,8.9,18,22,1,3,3.77,1,87.8,31,4.2,37.3,75.67209015,93.9814465,15.9,46.9,53.5
"Gausman, Kevin",592332,31,185,763,237,55,31.1,7.2,65,72,12,9,3.16,31,89.4,36.9,9.9,43.3,77.89758606,94.80319831,28.9,49.3,42.9
"Gray, Jon",592351,29,157.1,656,142,54,21.6,8.2,72,75,9,8,4.12,29,89.4,35.5,6.4,39.5,78.99116559,94.12679149,26.3,50.8,40.8
"Jackson, Luke",592426,33,33.1,143,43,15,30.1,10.5,11,14,2,2,2.97,0,88.8,29.8,8.3,40.5,77.79823667,94.04469738,30.4,49,51.2
"Kahnle, Tommy",592454,42,40.2,165,48,19,29.1,11.5,12,14,1,3,2.66,0,86.8,29.9,4.1,22.7,76.31142688,92.70100531,35.2,45.3,49.5
"Shreve, Chasen",592741,50,44.2,193,45,14,23.3,7.3,23,25,1,2,4.63,0,88.3,30.8,9,38.2,77.28951769,93.68301208,28.5,47.9,44.4
"Smyly, Drew",592767,41,142.1,626,141,56,22.5,8.9,79,89,11,11,5,23,87.6,35.9,7.3,33.6,76.25811928,93.49370858,27.1,46.6,35.9
"Stanek, Ryne",592773,55,50.2,213,51,21,23.9,9.9,23,24,3,1,4.09,0,90.1,32.9,7.1,44.3,80.46003671,94.16807543,30.7,52.4,30.7
"Stewart, Brock",592779,28,27.2,109,39,11,35.8,10.1,2,2,2,0,0.65,0,88.3,34.5,3.4,31,78.54830107,93.07570518,41.5,51,37.9
"Syndergaard, Noah",592789,18,88.2,391,56,19,14.3,4.9,64,65,2,6,6.5,18,88.7,38.9,11.1,42.2,76.83103243,94.36971013,17.9,49.1,38.2
"Taillon, Jameson",592791,30,154.1,655,140,41,21.4,6.3,83,96,8,10,4.84,29,88.3,36.2,10.7,38.4,76.8280185,94.06418605,22,49.1,38.4
"Velasquez, Vince",592826,8,37.1,162,37,14,22.8,8.6,16,16,4,4,3.86,8,88.3,37.3,6.4,39.1,76.94537018,94.1738833,27.2,46.9,31.8
"Walker, Taijuan",592836,31,172.2,733,138,71,18.8,9.7,84,87,15,6,4.38,31,89.1,33.1,6.8,40.9,77.90190008,94.41770536,20.5,44.1,45.3
"Williams, Trevor",592866,30,144.1,658,111,52,16.9,7.9,89,97,6,10,5.55,30,88.3,36.9,10.2,38.6,77.00541603,93.99725448,19,47.1,40
"Germán, Domingo",593334,20,108.2,444,114,34,25.7,7.7,55,61,5,7,4.56,19,88.3,33.8,9.7,41.4,76.47749448,94.25443142,30.3,50.9,39.7
"Neris, Hector",593576,71,68.1,273,77,31,28.2,11.4,13,16,6,3,1.71,0,86.5,29.2,8.1,28,74.98336667,93.0671231,30.6,50.6,34.2
"Rodriguez, Eduardo",593958,26,152.2,621,143,48,23,7.7,56,59,13,9,3.3,26,88.6,31.4,7.5,38.5,76.99068462,94.24786955,23.8,47.8,42.6
"Peralta, Wandy",593974,63,54,227,51,30,22.5,13.2,17,19,4,2,2.83,0,86.8,26.4,7.1,34.3,74.52217647,93.56216704,29.7,46.8,57.1
"Mayers, Mike",594577,6,26.1,119,17,10,14.3,8.4,18,19,1,2,6.15,2,91.1,28.3,4.3,35.9,82.34080289,94.42085461,19.5,47.3,44.6
"Moll, Sam",594580,70,62.1,268,68,30,25.4,11.2,21,22,2,3,3.03,1,87.7,26.4,2.5,35.6,77.05590556,93.26661335,22.5,44.6,52.1
