Pitcher Name,player_id,Games Played,IP,Batters Faced,Strikeout,Walks,K%,BB%,Earned Runs,Runs Allowed,Wins,Losses,ERA,Games Started,Avg. Exit Velo.,Sweet Spot%,Barrel%,Hard Hit%,EV50,Adj. EV50,Whiff%,Swing%,GB%
"Irvin, Cole",608344,24,77.1,336,68,21,20.2,6.3,38,42,1,4,4.42,12,88.5,39.6,10.8,34.6,77.45743219,93.94542063,20.8,50.5,41.7
"Sims, Lucas",608371,67,61,258,72,39,27.9,15.1,21,23,7,3,3.1,0,87.6,32.1,8.8,32.1,77.93010448,92.65971328,33.1,45.7,24.8
"Wacha, Michael",608379,24,134.1,553,124,43,22.4,7.8,48,49,14,4,3.22,24,88.1,38.6,7.3,35.5,77.38429581,93.5172127,24.6,47.9,35.2
"Chargois, JT",608638,46,42.1,174,35,18,20.1,10.3,17,17,1,0,3.61,5,87.7,34.5,4.2,34.5,76.88972707,93.31582724,20.3,40,54.6
"Graveman, Kendall",608665,68,66.1,282,66,36,23.4,12.8,23,27,5,6,3.12,0,88.6,32.2,6.9,35.6,78.12493943,93.68802549,29.2,43.6,38.5
"Leone, Dominic",608678,51,54,235,54,28,23,11.9,28,28,1,3,4.67,0,89.7,36.4,11.9,44.4,78.60371,94.59610656,34.1,50.7,37.1
"Stratton, Chris",608717,64,82.2,338,81,25,24,7.4,36,39,2,1,3.92,0,89.7,30.4,8.3,39.1,79.77271553,93.99139141,21.9,47.5,39.1
"Suter, Brent",608718,57,69.1,292,55,25,18.8,8.6,26,36,4,3,3.38,2,84,28.7,3.3,26.3,71.87823475,92.1555801,22,44.3,46.9
"Voth, Austin",608723,25,34.2,160,34,15,21.3,9.4,20,22,1,2,5.19,0,88.4,31.5,5.6,35.2,77.86392185,93.68538224,24,47.8,34.3
"Castro, Miguel",612434,75,64.2,268,60,25,22.4,9.3,31,32,6,6,4.31,0,86.1,33.3,6.1,28.3,74.75168652,92.77636882,26.9,45.7,44.4
"Ruiz, José",614179,38,44.1,207,39,21,18.8,10.1,29,31,2,1,5.89,1,89,39.7,8.5,36.2,79.07877859,93.6999317,29.5,45.9,38.3
"Quantrill, Cal",615698,19,99.2,444,58,35,13.1,7.9,58,59,4,7,5.24,19,87.9,37.2,8.4,39.2,76.12958117,94.0103117,18.9,47,40.4
"Cuas, Jose",621016,72,65.1,292,71,35,24.3,12,29,30,3,2,3.99,2,89.9,36.3,11.7,41.3,79.52894652,94.36691528,29.5,45.5,45.3
"Wilson, Steven",621051,52,53,219,57,27,26,12.3,23,23,1,2,3.91,0,87.2,28.8,8.3,33.3,76.25042197,93.07623697,26.7,44.2,25.8
"Rucker, Michael",621074,35,40.1,176,40,19,22.7,10.8,22,22,2,1,4.91,0,91.6,32.5,7.9,49.1,81.33275018,95.49464561,27.7,43.1,51.8
"Kaprielian, James",621076,14,61,280,57,31,20.4,11.1,43,45,2,6,6.34,11,89.6,36.6,7,38.7,79.70958352,93.93567236,25,48.5,32.3
"Eflin, Zach",621107,31,177.2,703,186,24,26.5,3.4,69,69,16,8,3.5,31,87.5,29.2,9,35.1,75.55741481,93.73501605,24,49.9,50.4
"Blackburn, Paul",621112,21,103.2,464,104,43,22.4,9.3,51,54,4,7,4.43,20,87.2,38,5.8,33.2,75.9141541,93.27628218,23.8,45.7,41.5
"Alvarado, José",621237,42,41.1,172,64,18,37.2,10.5,8,15,0,2,1.74,0,91.1,31.1,4.4,45.6,80.80791911,95.26677629,33.5,49.5,55.6
"Berríos, José",621244,32,189.2,782,184,52,23.5,6.6,77,82,11,12,3.65,32,88.2,39.1,8.6,35.8,77.33453026,93.5835612,25.4,46.5,42.1
"Underwood Jr., Duane",621249,20,24.1,100,14,11,14,11,14,14,1,0,5.18,0,88.4,37.3,8,38.7,76.88714263,94.09001573,20.1,47.2,44
"Wittgren, Nick",621295,27,29,128,18,11,14.1,8.6,16,17,1,0,4.97,0,88.6,34.4,7.3,34.4,78.12955604,93.71472438,15.4,48.1,44.8
"Minter, A.J.",621345,70,64.2,260,82,21,31.5,8.1,27,28,3,6,3.76,0,87.9,36.9,7,36.3,76.78532584,93.5544334,31.4,50.4,36.3
"Poche, Colin",621363,66,60.2,246,61,24,24.8,9.8,15,17,12,3,2.23,0,87.2,29.4,5.6,31.3,76.4674809,93.01999885,29,48.8,36.3
"Borucki, Ryan",621366,38,40.1,152,33,4,21.7,2.6,11,11,4,0,2.45,2,85.7,25.2,6.3,29.7,74.24539546,92.6585744,27.7,52.7,47.7
"Strahm, Matt",621381,56,87.2,351,108,21,30.8,6,32,34,9,5,3.29,10,90.2,35.2,8.2,42,80.26660565,94.45162079,28,50.4,33.8
"Banks, Tanner",621383,32,61,255,51,16,20,6.3,30,32,1,4,4.43,3,90.3,35.3,9.2,37,80.88915554,94.06682612,24.6,46.4,37
"Blach, Ty",621389,20,78,352,50,24,14.2,6.8,48,51,3,3,5.54,13,90.1,41.9,11,43.4,78.33775493,95.19675708,15.1,49.2,39.3
"Young, Alex",622065,63,53.2,236,50,20,21.2,8.5,23,27,4,2,3.86,0,90.2,28.5,6.1,44.2,79.7651005,94.58508813,30,50.9,49.7
"Wood, Alex",622072,29,97.2,429,74,42,17.2,9.8,47,52,5,5,4.33,12,89.2,33.1,5.6,37.4,79.41072275,93.77216477,21.7,45.8,45.9
"Almonte, Yency",622075,49,48,207,49,23,23.7,11.1,27,30,3,2,5.06,0,87.7,34.4,6.9,31.3,77.08148215,93.18128485,30.2,43,42.7
"Smith, Drew",622098,62,56.1,244,60,29,24.6,11.9,26,31,4,6,4.15,0,89.5,38,10.7,39.3,79.45313947,93.8532688,26,46.5,30.7
"Sborz, Josh",622250,44,52.1,215,66,17,30.7,7.9,32,33,6,7,5.5,0,89.9,30.8,8.5,40.8,79.35366492,94.55518692,36.9,47.1,46.9
"Castillo, Luis",622491,33,197,802,219,56,27.3,7,73,81,14,9,3.34,33,90,31,9.4,41.8,78.96020907,94.70960365,30.6,52.1,39.5
"Domínguez, Seranthony",622554,57,50,224,48,22,21.4,9.8,21,25,5,5,3.78,0,85.5,35.8,8.1,31.1,72.58006069,93.2274424,28,50.6,42.6
"Severino, Luis",622663,19,89.1,417,79,34,18.9,8.2,66,73,4,8,6.65,18,90.2,37.9,10.4,45,79.67121811,94.77372449,20.6,51.5,43.3
"Cordero, Jimmy",622772,31,32.2,132,34,10,25.8,7.6,14,14,3,2,3.86,1,88.5,36,4.7,38.4,77.7743714,93.86838756,24.1,43,55.8
"Perdomo, Angel",622780,30,29,117,44,11,37.6,9.4,12,14,3,2,3.72,0,88.2,30.5,11.9,37.3,76.79645821,93.81288625,31.6,46,37.3
"Sewald, Paul",623149,65,60.2,249,80,24,32.1,9.6,21,23,3,2,3.12,0,85.9,34,5.6,29.9,74.50906343,92.69655914,29.3,49.8,32.6
"Flexen, Chris",623167,29,102.1,466,74,38,15.9,8.2,78,81,2,8,6.86,16,89.4,38.6,9.4,41.4,78.52899178,94.27543066,22.3,48,38.9
"Brazoban, Huascar",623211,50,58.2,257,65,31,25.3,12.1,27,28,5,2,4.14,0,85.4,31.2,7,28,72.97867474,92.86371816,31.5,47.6,51.6
"Hader, Josh",623352,61,56.1,231,85,30,36.8,13,8,11,2,3,1.28,0,87,33.6,4.4,28.3,76.457276,92.80363455,33.1,50.1,37.2
"Anderson, Nick",623433,35,35.1,141,36,9,25.5,6.4,12,14,4,0,3.06,0,90.8,33.3,9.4,41.7,81.43444813,94.44694211,27.8,48,40.6
"Topa, Justin",623437,75,69,279,61,18,21.9,6.5,20,26,5,4,2.61,0,87.5,26.9,3,36.5,75.93017432,93.63747979,19.1,46.6,57.4
"Phillips, Evan",623465,62,61.1,234,66,13,28.2,5.6,14,19,2,4,2.05,0,88.2,29.6,6.6,36.8,77.22694467,93.58479627,29.4,47.7,44.1
"Herget, Jimmy",623474,29,29,127,26,8,20.5,6.3,15,15,2,4,4.66,1,89.3,45.1,9.9,38.5,78.83518913,94.15521846,20.4,47.2,28.6
"Suárez, Ranger",624133,22,125,540,119,48,22,8.9,58,59,4,6,4.18,22,87.8,35.3,7.5,36.1,76.42190169,93.62207436,23,45,48.8
"Thompson, Keegan",624522,19,28.2,125,26,19,20.8,15.2,15,15,2,2,4.71,0,88.9,34.2,5.1,44.3,78.2500618,94.20247078,26.6,42.6,39.2
"González, Victor",624647,34,33.2,135,30,10,22.2,7.4,15,15,3,3,4.01,1,86.6,29.3,6.5,29.3,74.91429739,93.16234489,28.8,45.7,54.3
"López, Reynaldo",625643,68,66,278,83,34,29.9,12.2,24,25,3,7,3.27,0,88.1,33.3,9.4,38.4,76.32051897,93.97355115,30.5,51.2,40.3
"Maeda, Kenta",628317,21,104.1,428,117,28,27.3,6.5,49,50,6,8,4.23,20,90.4,38.9,8.2,42.1,80.7639429,94.38804612,28.2,48.5,33.6
"Iglesias, Raisel",628452,58,55.2,231,68,15,29.4,6.5,17,23,5,4,2.75,0,88.8,35.8,6.8,37.8,78.01351743,93.90334925,32.7,53.4,43.2
"Marte, Yunior",628708,40,39.1,182,38,17,20.9,9.3,22,27,1,1,5.03,0,87.1,28.6,7.9,34.1,75.13726081,93.52489202,25,47.4,50
"Urías, Julio",628711,21,117.1,482,117,24,24.3,5,60,61,11,8,4.6,21,87.2,31.2,8.7,34.5,75.57133242,93.50630675,24.2,49.5,37.5
"Chirinos, Yonny",630023,20,85,367,53,27,14.4,7.4,51,53,5,5,5.4,9,91.3,34.9,9.3,45.6,81.40870333,95.08777235,17.7,48.7,46.3
"Finnegan, Kyle",640448,67,69.1,288,63,24,21.9,8.3,29,33,7,5,3.76,0,92.2,34,8.5,47.5,81.82415268,95.99843335,24.8,49.5,47.5
"Harvey, Hunter",640451,57,60.2,235,67,13,28.5,5.5,19,21,4,4,2.82,0,89.6,32,8.5,41.2,79.11367868,94.36678559,26.3,50.9,43.8
"Manaea, Sean",640455,37,117.2,499,128,42,25.7,8.4,58,68,7,6,4.44,10,89.4,35.8,8.7,36.4,78.98856189,94.09059224,24.1,49.8,42.4
"Puk, A.J.",640462,58,56.2,242,78,13,32.2,5.4,25,29,7,5,3.97,0,87.3,27.5,8.1,32.2,75.41632365,93.71006286,32.8,48.2,45.6
"Alzolay, Adbert",640470,58,64,253,67,13,26.5,5.1,19,23,2,5,2.67,0,89.4,33.3,6,36.9,78.90835268,94.26336226,28.1,51.4,43.5
"López, Pablo",641154,32,194,801,234,48,29.2,6,79,81,11,8,3.66,32,87.1,32.4,6.3,34.8,75.93451778,93.23584819,30.3,51.7,45.4
"Alexander, Tyler",641302,25,44,181,44,5,24.3,2.8,22,25,2,1,4.5,1,89.2,38.8,10.9,40.3,78.75439203,93.94028764,18.3,49.2,33.3
"Baker, Bryan",641329,46,45,186,51,24,27.4,12.9,18,19,4,3,3.6,0,90,30,7.3,36.4,80.26443091,94.05998762,23.6,48,35.5
"Bickford, Phil",641360,61,67.1,304,76,39,25,12.8,37,41,5,5,4.95,0,90.9,34.6,10.3,42.2,80.95653101,94.8712732,29.7,48.8,29.2
"Brogdon, Connor",641401,27,29,127,26,13,20.5,10.2,13,14,2,1,4.03,1,86.1,37.9,10.3,32.2,73.30696302,93.49467523,27.9,47.4,37.9
"Cortes Jr., Nestor",641482,12,63.1,266,67,20,25.2,7.5,35,36,5,2,4.97,12,89.6,33,7.4,41.5,79.26095818,94.1314096,24.2,49.4,26.1
"Dunning, Dane",641540,35,172.2,722,140,55,19.4,7.6,71,73,12,7,3.7,26,88.8,32.5,7.5,40.2,77.7592569,94.06919,22.2,47,47.2
"France, J.P.",641585,24,136.1,581,101,47,17.4,8.1,58,64,11,6,3.83,23,89.6,33.9,8.1,38.7,79.32435423,94.10833457,21.9,44.9,42.2
"Gott, Trevor",641627,64,58,261,62,19,23.8,7.3,27,34,0,5,4.19,0,88.2,33.5,4.5,36.4,76.87902839,93.93131844,22.9,44.6,41.5
"Hamilton, Ian",641656,39,58,239,69,26,28.9,10.9,17,19,3,2,2.64,3,86,31.2,5.7,36.9,72.83142803,93.6814822,34.4,47.5,56
"Hatch, Thomas",641672,18,28.2,129,26,12,20.2,9.3,13,18,1,1,4.08,2,89.9,30.3,4.5,46.1,79.47447091,94.51213421,29.6,49.4,53.9
"Honeywell Jr., Brent",641703,40,52.1,235,45,24,19.1,10.2,28,29,2,4,4.82,0,90.9,30.4,8.1,47.8,80.58770813,95.2103195,24,46.8,49.7
"Hudson, Dakota",641712,18,81.1,354,45,34,12.7,9.6,45,46,6,3,4.98,12,90.5,30.9,8.9,45.4,79.31491881,95.23986754,20.2,47.1,51.7
"Jiménez, Joe",641729,59,56.1,238,73,14,30.7,5.9,19,22,0,3,3.04,0,91.1,40.9,11.4,45,80.98968257,95.21334075,32.2,51.1,29.5
"Keller, Brad",641745,11,45.1,211,31,45,14.7,21.3,23,26,3,4,4.57,9,89.2,30.3,6.8,36.4,79.63309727,93.49613417,22.8,37.5,57.6
"Kuhl, Chad",641771,16,38.1,187,31,28,16.6,15,36,38,0,4,8.45,5,92.2,44,12,50.4,81.77812274,95.8681079,26.6,41,31.2
"Lauer, Eric",641778,10,46.2,211,43,24,20.4,11.4,34,39,4,6,6.56,9,91.7,41,13.9,45.1,82.10051764,95.02607188,22,46.9,25
"Littell, Zack",641793,28,90,379,74,12,19.5,3.2,41,43,3,6,4.1,14,89.6,33.9,8.3,41.9,79.01714126,94.34008228,21,53.4,42.2
"Mahle, Tyler",641816,5,25.2,102,28,5,27.5,4.9,9,11,1,2,3.16,5,87.5,34.8,8.7,39.1,76.15444265,93.50901574,24,45.6,37.7
"Mayza, Tim",641835,69,53.1,215,53,15,24.7,7,9,10,3,1,1.52,0,87.3,28.6,4.1,39.5,74.28569736,94.27199056,22.3,43.8,59.2
"Middleton, Keynan",641871,51,50.2,212,64,23,30.2,10.8,19,20,2,2,3.38,0,85.3,25,8.1,31.5,73.04380836,92.84698281,36,51.6,56.5
"Ober, Bailey",641927,26,144.1,577,146,29,25.3,5,55,58,8,6,3.43,26,88.2,33.4,9.6,35.7,77.74015929,93.49078292,28.7,53.1,34.7
"Pagán, Emilio",641941,66,69.1,273,65,21,23.8,7.7,23,26,5,2,2.99,1,90.6,34.4,7.5,45.2,81.32029457,94.54476223,24.4,54.6,32.3
"Saucedo, Tayler",642048,52,47.2,207,43,23,20.8,11.1,19,20,3,2,3.59,0,85.9,25.9,5.2,31.9,74.20739923,92.82914527,29.6,45.8,58.5
"Speier, Gabe",642100,69,54.2,216,64,11,29.6,5.1,23,24,2,2,3.79,0,88.5,30.4,8.7,42,76.44684588,94.68923667,30,52.8,55.8
"Williams, Devin",642207,61,58.2,231,87,28,37.7,12.1,10,13,8,3,1.53,0,85.9,35.7,7,29.6,74.7385579,92.52399097,41.1,46.9,47.8
"Winans, Allan",642216,6,32.1,141,34,8,24.1,5.7,19,19,1,2,5.29,6,89.3,36.1,8.2,39.2,79.05141408,93.88844196,25.2,47.6,45.4
"Yarbrough, Ryan",642232,25,89.2,376,67,13,17.8,3.5,45,45,8,7,4.52,9,85.4,32.6,6.6,29.2,73.24484239,92.76774338,22.8,51.5,39.9
"Soto, Gregory",642397,69,60.1,250,65,22,26,8.8,31,34,3,4,4.62,0,87.4,28.6,5.6,34.8,75.98296772,93.41221892,34,48.1,52.2
"Barria, Jaime",642545,34,82.1,362,62,30,17.1,8.3,52,63,2,6,5.68,6,87.6,34,10.4,34,76.3067506,93.49304112,22.9,48.5,36.2
"Hernández, Jonathan",642546,33,31.2,147,34,15,23.1,10.2,19,20,1,2,5.4,0,88.6,30.9,10.6,40.4,76.24560065,94.60704747,30,43.9,53.2
"Peralta, Freddy",642547,30,165.2,680,210,54,30.9,7.9,71,77,12,10,3.86,30,87.6,32.3,8.6,37.7,75.95279552,93.70498193,33.6,47.8,42.8
"Bautista, Félix",642585,56,61,237,110,26,46.4,11,10,14,8,2,1.48,0,88.6,31.3,8.1,34.3,78.80514625,93.27806813,44.3,51.2,36.4
"Herget, Kevin",643361,14,24.1,105,13,6,12.4,5.7,14,14,1,2,5.18,0,90.5,34.5,9.5,44,80.59793667,94.40015738,19.5,47.8,33.3
"Jax, Griffin",643377,71,65.1,274,68,19,24.8,6.9,28,30,6,10,3.86,0,86.8,29,3.3,33.3,75.18533911,93.19549572,26.6,48.1,56.8
"Leiter Jr., Mark",643410,69,64.1,269,77,24,28.6,8.9,25,27,1,3,3.5,0,88.2,33.1,8.8,39.4,76.14347975,94.24795031,32.1,44.3,46.3
"Pruitt, Austin",643493,38,48.1,197,30,13,15.2,6.6,16,18,2,6,2.98,6,87,37.3,6.5,30.7,76.40485553,92.83487211,20.4,48.6,37.3
"Rogers, Tyler",643511,68,74,309,60,19,19.4,6.1,25,27,4,5,3.04,0,84.4,26.2,2.2,27.6,71.87197189,92.51610213,22.4,51.2,53.3
"Alcantara, Sandy",645261,28,184.2,762,151,48,19.8,6.3,85,91,7,12,4.14,28,88.8,31.4,7,40.6,77.34873688,94.27589467,25.2,54.2,51.9
"Soroka, Michael",647336,7,32.1,145,29,12,20,8.3,23,23,2,2,6.4,6,87.3,38,11,34,75.61023184,93.61663684,23.5,45.3,46
"Abreu, Bryan",650556,72,72,287,100,31,34.8,10.8,14,17,3,2,1.75,0,89.9,36.6,9.8,34,80.58914961,93.96453338,39.8,44.8,38.6
"King, Michael",650633,49,104.2,431,127,32,29.5,7.4,32,35,4,8,2.75,9,86.8,36.7,7.1,33.3,75.0620778,93.30332439,29.4,42.5,43.4
"Civale, Aaron",650644,23,122.1,504,116,33,23,6.5,47,47,7,5,3.46,23,89,33.5,6.6,36.4,78.32191791,94.02557481,22.7,46.9,39.8
"Cabrera, Génesis",650893,61,55.2,239,58,24,24.3,10,25,28,2,1,4.04,0,91.4,29.7,11.6,47.7,81.50251442,95.19234052,29.8,49.7,38.7
"Sánchez, Cristopher",650911,19,99.1,396,96,16,24.2,4,38,44,3,5,3.44,18,88.8,31,8.2,40.2,76.6917954,94.7269782,26.4,48.2,57.7
"Duarte, Daniel",650960,31,31.2,136,23,20,16.9,14.7,13,14,3,0,3.69,0,85.6,20.7,4.3,32.6,73.92552674,92.68303717,24.5,47.9,50
"Abreu, Albert",656061,45,59,268,61,35,22.8,13.1,31,39,2,2,4.73,0,89,27.9,7.3,41.8,78.35210268,94.04679939,26,42,46.1
"Beeks, Jalen",656222,30,42.1,192,47,21,24.5,10.9,28,28,2,3,5.95,8,88.3,32.5,7.3,35,77.9836,93.43205,31,46.4,45.5
"Bielak, Brandon",656232,15,80,353,62,36,17.6,10.2,34,43,5,6,3.83,13,90.5,30,10.4,48.4,79.61211732,95.15938249,23.7,45,51.2
"Bird, Jake",656234,70,89.1,381,77,27,20.2,7.1,43,47,3,3,4.33,3,89.7,33,8.1,43.7,78.73069222,94.68471237,21.1,45.6,52.6
"Brigham, Jeff",656257,37,37.2,160,42,18,26.3,11.3,22,23,1,3,5.26,0,90,33.7,11.6,34.7,80.27284319,94.07000585,27.9,45.3,35.8
"Burke, Brock",656271,53,59.2,250,52,9,20.8,3.6,29,32,5,3,4.37,0,89.7,31,8.6,40.1,79.30069457,94.28031446,22.2,56.6,39.6
"Canning, Griffin",656288,24,127,536,139,36,25.9,6.7,61,62,7,8,4.32,22,91,31.5,9.8,44.2,81.18228177,94.78103805,29.1,48.4,43
"Cease, Dylan",656302,33,177,784,214,79,27.3,10.1,90,98,7,9,4.58,33,90,36.8,6.2,41.6,79.78860582,94.35501446,31,46.3,36.8
"Davidson, Tucker",656353,38,51.1,236,46,19,19.5,8.1,34,37,1,2,5.96,1,88.5,36.1,7.2,34.3,77.36836146,93.84641423,23.9,46.4,45.8
"Doyle, Tommy",656382,15,23.2,103,18,13,17.5,12.6,18,18,0,1,6.85,0,90.6,33.3,11.1,43.1,79.63701444,95.12914264,29.7,49.7,43.1
"Faedo, Alex",656412,15,64.2,262,58,20,22.1,7.6,32,35,2,5,4.45,12,88.8,34.4,7.7,33.9,77.9728811,93.84985192,23.5,47.7,36.1
"Flaherty, Jack",656427,29,144.1,650,148,66,22.8,10.2,80,83,8,9,4.99,27,87.9,38.5,7.3,38.3,76.59566512,93.75944007,26.6,44,43
"Ginkel, Kevin",656464,60,65.1,255,70,24,27.5,9.4,18,24,9,1,2.48,0,88,32.1,7.5,37.1,76.81440675,93.68903327,31.2,46.8,49.7
"Hentges, Sam",656529,56,52.1,223,56,18,25.1,8.1,21,24,3,2,3.61,0,91.6,32.9,5.4,49,81.51486068,95.57236527,27.4,45,57.7
"Hoffman, Jeff",656546,54,52.1,208,69,19,33.2,9.1,14,16,5,2,2.41,0,88.1,24.6,2.5,30.5,78.07986897,93.12752965,34.6,51.2,44.9
"Houck, Tanner",656557,21,106,463,99,41,21.4,8.9,59,61,6,10,5.01,21,90.2,31.2,6.6,43.8,79.83961348,94.67842965,28.7,47.3,53.3
"Jackson, Andre",656578,19,61.1,257,57,22,22.2,8.6,34,34,1,3,4.99,7,90.8,39.2,10.8,44.3,81.07776716,94.83565784,24.4,48.3,36.9
"Keller, Mitch",656605,32,194.1,825,210,55,25.5,6.7,91,97,13,9,4.21,32,87.7,36.5,8.6,35.6,75.95374952,93.73517624,23.2,47.8,44.2
"Kopech, Michael",656629,30,129.1,591,134,91,22.7,15.4,78,80,5,12,5.43,27,90.3,31.6,12.7,42.4,79.99523364,94.72003952,26.9,42.1,35.6
"Lange, Alex",656638,67,66,288,79,45,27.4,15.6,27,30,7,5,3.68,0,88.6,33.1,7,36.3,77.06381705,94.1664991,39.1,41,51
"Megill, Trevor",656730,31,34.2,148,52,12,35.1,8.1,14,14,1,0,3.63,2,90.7,43.4,7.2,38.6,81.65713293,94.41857342,32.5,46.7,32.5
"Megill, Tylor",656731,25,126.1,567,105,58,18.5,10.2,66,76,9,8,4.7,25,89.8,37,9.1,42.6,78.86975655,94.66349975,23.3,44.9,44.3
"Montgomery, Jordan",656756,32,188.2,777,166,48,21.4,6.2,67,75,10,11,3.2,32,88.3,36.3,7.5,37.9,77.15494714,93.9031783,25.9,47.6,43.8
"Peterson, David",656849,27,111,492,128,50,26,10.2,62,64,3,8,5.03,21,90,34.4,8.1,44.5,78.23061776,95.24751838,29.2,45.9,55.2
"Rasmussen, Drew",656876,8,44.2,177,47,11,26.6,6.2,13,13,4,2,2.62,8,87.3,29.7,4.2,32.2,76.58317931,92.99888974,23.7,50.1,53.4
"Scott, Tanner",656945,74,78,307,104,24,33.9,7.8,20,22,9,5,2.31,0,85.3,34.3,3.4,26.3,73.51237372,92.60034252,36.1,51.2,50.3
"Smeltzer, Devin",656970,9,22.1,100,16,4,16,4,16,18,0,1,6.45,1,90.9,40.8,11.8,47.4,80.40973921,95.116525,19.3,47.4,35.5
"Steele, Justin",657006,30,173.1,716,176,36,24.6,5,59,71,16,5,3.06,30,87.8,33.4,5.4,36.6,76.61452233,93.56474102,23.8,52.9,50.3
"Swanson, Erik",657024,69,66.2,262,75,21,28.6,8,22,22,4,2,2.97,0,89.2,31.3,6,40.4,78.59035476,94.14330823,32.6,50.4,40.4
"Thompson, Ryan",657044,31,30.2,121,21,8,17.4,6.6,13,14,1,2,3.82,0,86.9,17,5.7,34.1,75.11211163,93.44603541,17.8,44.4,62.5
"Toussaint, Touki",657053,20,87,384,85,57,22.1,14.8,48,48,4,7,4.97,16,89.1,34,7.7,39.6,78.377955,94.19691645,25.2,40.1,50.2
"Webb, Jacob",657097,54,53.2,232,57,30,24.6,12.9,22,22,1,1,3.69,0,88.1,32.6,5,39.7,77.57997,93.50287721,32.2,51.2,37.6
"Wright, Kyle",657140,9,31,155,34,17,21.9,11,24,26,1,3,6.97,7,91.1,32,12,46,80.5982651,95.44712837,22.8,47.3,61
"Merryweather, Julian",657240,69,72,303,98,36,32.3,11.9,27,28,5,1,3.38,0,89.8,32.1,7.1,40.5,78.82076451,94.79182287,35.1,47.3,41.7
"Strzelecki, Peter",657265,37,37,163,37,12,22.7,7.4,18,18,3,5,4.38,0,89.1,34,7.5,36.8,79.79585,93.35481381,26.6,45.5,38.7
"Webb, Logan",657277,33,216,850,194,31,22.8,3.6,78,83,11,13,3.25,33,90.7,28.4,6.9,46,79.69594423,95.25216736,20.7,47.4,62.7
"Schmidt, Clarke",657376,33,159,694,149,46,21.5,6.6,82,91,9,9,4.64,32,89.2,31.1,7.6,41,77.79197595,94.39970499,22.6,47.1,43.6
"Baumann, Mike",657508,60,64.2,273,61,33,22.3,12.1,27,29,10,1,3.76,0,91.3,31.6,9,45.8,81.36503875,95.14120914,25,48.3,42.9
"Bernardino, Brennan",657514,55,50.2,216,58,18,26.9,8.3,18,19,2,1,3.2,6,89,35.1,6.7,32.8,77.91286612,94.22936218,24.7,40.7,49.3
"Ferguson, Caleb",657571,68,60.1,270,70,23,25.9,8.5,23,30,7,4,3.43,7,89.3,29.6,3,39.1,78.89940831,94.03025067,26.1,49.2,49.1
"Hill, Tim",657612,48,44.1,202,26,14,12.9,6.9,27,36,1,4,5.48,0,89.9,21.8,5.1,44.2,78.49344908,95.20422338,15,50.1,63.5
"Ryan, Joe",657746,29,161.2,672,197,34,29.3,5.1,81,83,11,10,4.51,29,90,34,8.7,41.6,79.79898749,94.41233744,26.8,55.1,33.1
"Seabold, Connor",657756,27,87.1,408,67,28,16.4,6.9,73,76,1,7,7.52,13,89.2,38.6,10.1,40.5,78.16738556,94.39598808,21.5,50.3,34
"Avila, Pedro",658648,14,50.1,220,54,25,24.5,11.4,18,23,2,2,3.22,6,88.5,26.5,4.4,41.9,76.27409803,94.4930113,28.9,45.7,60.3
"Lamet, Dinelson",659275,17,27.2,145,32,23,22.1,15.9,36,38,1,4,11.71,4,91.6,34.8,11.2,52.8,82.060792,95.27411169,24,43.6,42.7
"Fujinami, Shintaro",660261,64,79,357,83,45,23.2,12.6,63,65,7,8,7.18,7,90.4,33.3,7.7,44.6,79.71280252,94.93751828,30.1,45.4,39.2
"Ohtani, Shohei",660271,23,132,531,167,55,31.5,10.4,46,50,10,5,3.14,23,86.4,34,10.1,35,73.9743325,93.44273591,30.8,46.7,45.8
"Suarez, José",660761,11,33.2,165,28,20,17,12.1,31,32,1,3,8.29,7,88.7,34.5,11.2,39.7,77.64867561,93.96665903,28.5,48.1,33.6
"De Los Santos, Yerry",660787,22,24.1,104,18,13,17.3,12.5,9,10,1,1,3.33,0,88.1,26.4,5.6,30.6,78.35383778,93.19074831,16.6,45.6,55.6
"Graterol, Brusdar",660813,68,67.1,257,48,12,18.7,4.7,9,14,4,2,1.2,1,87,24.2,4.6,32.5,75.80198274,93.15883233,16.3,50.7,66
"De Los Santos, Enyel",660853,70,65.2,262,62,25,23.7,9.5,24,26,5,2,3.29,0,88.7,36.8,8.2,33.3,78.16222058,93.74439187,27.4,49.7,40.4
"Martinez, Adrián",661309,22,55,241,47,19,19.5,7.9,29,31,0,2,4.75,1,88.6,42.4,10,37.6,77.21628,94.16916459,23.1,45.5,38.2
"Duran, Jhoan",661395,59,62.1,255,84,25,32.9,9.8,17,25,3,6,2.45,0,89.2,21.1,7,38,77.74989913,94.47050942,35.2,51.4,66.2
"Clase, Emmanuel",661403,75,72.2,302,64,16,21.2,5.3,26,37,3,9,3.22,0,88.4,29.4,5,37.6,77.81347869,93.63245748,27.4,53.4,56.6
"Llovera, Mauricio",661440,30,35,160,29,15,18.1,9.4,19,25,2,3,4.89,0,89.5,29.5,6.3,41.1,78.89029357,94.36023802,17.3,42.8,49.1
"Martinez, Seth",661527,35,43,195,45,19,23.1,9.7,25,29,2,3,5.23,0,90.2,40.8,9.6,45.6,78.59309459,95.29238771,25.4,45.8,39.2
"Muñoz, Andrés",662253,52,49,211,67,22,31.8,10.4,16,20,4,7,2.94,0,88.4,29.9,5.1,35.9,76.95025627,94.02528786,39.4,48,59
