Name,W,L,ERA,IP,H,R,ER,HR,BB,SO,HBP,BF,FIP,WHIP
Alex Vesia*,2,5,4.35,49.2,52,27,24,7,17,64,2,217,3.66,1.389
Brennan Bernardino*,2,1,3.2,50.2,48,19,18,4,18,58,6,216,3.41,1.303
Taylor Rogers*,6,4,3.83,51.2,39,27,22,6,25,64,3,216,3.91,1.239
Gabe Speier*,2,2,3.79,54.2,47,24,23,7,11,64,3,216,3.35,1.061
Marco Gonzales*,4,1,5.22,50,55,32,29,5,18,34,0,215,4.28,1.46
Tim Mayza*,3,1,1.52,53.1,50,10,9,2,15,53,0,215,2.6,1.219
Josh Sborz,6,7,5.5,52.1,43,33,32,8,17,66,1,215,3.75,1.146
Ryne Stanek,3,1,4.09,50.2,42,24,23,8,21,51,1,213,4.6,1.243
Keynan Middleton,2,2,3.38,50.2,40,20,19,8,23,64,1,212,4.2,1.243
Chris Murphy*,1,2,4.91,47.2,50,27,26,5,17,49,1,212,3.7,1.406
Brad Keller,3,4,4.57,45.1,42,26,23,3,45,31,3,211,5.92,1.919
Eric Lauer*,4,6,6.56,46.2,54,39,34,16,24,43,0,211,7.41,1.671
Andrés Muñoz,4,7,2.94,49,40,20,16,2,22,67,5,211,2.7,1.265
Danny Coulombe*,5,3,2.81,51.1,45,17,16,4,12,58,2,210,2.83,1.11
Scott Alexander*,7,3,4.66,48.1,55,30,25,2,11,31,1,208,3.26,1.366
Yency Almonte,3,2,5.06,48,43,30,27,6,24,49,4,208,4.59,1.396
Jeff Hoffman,5,2,2.41,52.1,29,16,14,3,19,69,2,208,2.57,0.917
Shawn Armstrong,1,0,1.38,52,36,12,8,2,11,54,4,207,2.54,0.904
Andrés Machado,4,1,5.22,50,53,29,29,12,13,43,1,207,5.5,1.32
José Ruiz,2,1,5.89,44.1,52,31,29,10,21,39,6,207,6.26,1.647
Tayler Saucedo*,3,2,3.59,47.2,41,20,19,2,23,43,6,207,3.82,1.343
Tom Cosgrove*,1,2,1.75,51.1,31,12,10,3,19,44,5,205,3.7,0.974
Ron Marinaccio,4,5,3.99,47.1,35,24,21,6,27,56,7,205,4.69,1.31
Trevor May,4,4,3.28,46.2,35,21,17,4,29,40,3,205,4.71,1.371
John Schreiber,2,1,3.86,46.2,41,22,20,6,25,53,4,204,4.52,1.414
José Ureña,0,7,6.45,44.2,50,37,32,13,22,29,1,203,7.28,1.612
Tim Hill*,1,4,5.48,44.1,59,36,27,7,14,26,6,202,5.49,1.647
Ryan Feltner,2,4,5.82,43.1,45,29,28,2,28,38,2,201,4.18,1.685
Robert Stephenson,3,4,3.1,52.1,30,20,18,8,16,77,0,201,3.22,0.879
Sam Long*,0,1,5.6,45,49,29,28,5,21,32,1,199,4.74,1.556
Chris Martin,4,1,1.05,51.1,45,6,6,2,8,46,0,199,2.44,1.032
Will Vest,2,1,2.98,48.1,40,18,16,3,13,56,0,199,2.55,1.097
Austin Pruitt,2,6,2.98,48.1,44,18,16,5,12,30,1,196,4.17,1.159
