Pick,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,Draft Year
46,TOR,Dalano Banton,Nebraska,2,95,975,347,169,135,0.416,0.275,0.632,10.3,3.7,1.8,1.4,0.8,0.04,-2.4,-0.1,2021
47,TOR,David Johnson,Louisville,1,2,2,0,0,0,0,0,,1,0,0,0,0,-0.495,-27.7,0,2021
48,ATL,Sharife Cooper,Auburn,1,13,39,7,5,5,0.214,0.167,,3,0.5,0.4,0.4,-0.2,-0.297,-16.3,-0.1,2021
49,BRK,Marcus Zegarowski,Creighton,,,,,,,,,,,,,,,,,,2021
50,PHI,Filip Petrušev,Gonzaga,,,,,,,,,,,,,,,,,,2021
51,MEM,Brandon Boston Jr.,Kentucky,2,73,1008,486,141,71,0.394,0.329,0.8,13.8,6.7,1.9,1,0.6,0.03,-3.1,-0.3,2021
52,DET,Luka Garza,Iowa,2,60,632,367,163,38,0.49,0.341,0.699,10.5,6.1,2.7,0.6,1.8,0.138,-1.7,0,2021
53,PHI,Charles Bassey,Western Kentucky,2,58,676,268,255,54,0.643,0.25,0.633,11.7,4.6,4.4,0.9,2.1,0.147,0.8,0.5,2021
54,IND,Sandro Mamukelashvili,Seton Hall,2,84,1067,417,267,84,0.446,0.344,0.722,12.7,5,3.2,1,2,0.091,-1.6,0.1,2021
55,OKC,Aaron Wiggins,Maryland,2,120,2506,895,388,148,0.489,0.346,0.776,20.9,7.5,3.2,1.2,3.8,0.074,-3.1,-0.7,2021
56,CHO,Scottie Lewis,Florida,1,2,7,1,0,1,,,0.5,3.5,0.5,0,0.5,0,0.164,6,0,2021
57,CHO,Balša Koprivica,Florida State,,,,,,,,,,,,,,,,,,2021
58,NYK,Jericho Sims,Texas,2,93,1367,268,411,46,0.758,0,0.533,14.7,2.9,4.4,0.5,4.1,0.143,-1,0.3,2021
59,BRK,RaiQuan Gray,Florida State,1,1,35,16,9,7,0.5,0.4,1,35,16,9,7,0.1,0.106,-2,0,2021
60,IND,Georgios Kalaitzakis,,1,13,214,86,21,12,0.463,0.385,0.467,16.5,6.6,1.6,0.9,-0.1,-0.024,-7,-0.3,2021
